6	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)- testing
parent_sim: 0.0900 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.1744 gap=0.0844 pretrain(resnet18,ImageNet)-
ref_sim: 0.1784 gap=0.0884 train(mbnetv2,Flower102)-
ref_sim: 0.2058 gap=0.1159 train(mbnetv2,SDog120)-
ref_sim: 0.1820 gap=0.0921 train(resnet18,Flower102)-
ref_sim: 0.2067 gap=0.1168 train(resnet18,SDog120)-
ref_sim: 0.1514 gap=0.0614 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.1650 gap=0.0751 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.1679 gap=0.0779 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.1976 gap=0.1076 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.2293 gap=0.1394 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.2324 gap=0.1425 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.1575 gap=0.0675 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.1588 gap=0.0688 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.1606 gap=0.0706 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.1701 gap=0.0801 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.1674 gap=0.0774 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.1674 gap=0.0774 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.1701 gap=0.0801 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.1667 gap=0.0767 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
ref_sim: 0.1664 gap=0.0765 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.8)-
ref_sim: 0.2233 gap=0.1333 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.2)-
ref_sim: 0.2162 gap=0.1262 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.5)-
ref_sim: 0.2628 gap=0.1728 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.8)-
ref_sim: 0.2181 gap=0.1281 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.2)-
ref_sim: 0.2303 gap=0.1404 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.5)-
ref_sim: 0.2623 gap=0.1723 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.8)-
ref_sim: 0.2151 gap=0.1251 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.2)-
ref_sim: 0.2305 gap=0.1405 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.5)-
ref_sim: 0.2646 gap=0.1746 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.8)-
ref_sim: 0.1557 gap=0.0658 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-distill()-
ref_sim: 0.1737 gap=0.0838 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-distill()-
ref_sim: 0.1726 gap=0.0826 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-distill()-
ref_sim: 0.2375 gap=0.1476 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-distill()-
ref_sim: 0.2504 gap=0.1605 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-distill()-
ref_sim: 0.2569 gap=0.1670 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-distill()-
ref_sim: 0.1657 gap=0.0757 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(mbnetv2)-
ref_sim: 0.1662 gap=0.0762 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(resnet18)-
ref_sim: 0.1771 gap=0.0871 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-steal(mbnetv2)-
ref_sim: 0.1747 gap=0.0847 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-steal(resnet18)-
ref_sim: 0.1755 gap=0.0856 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-steal(mbnetv2)-
ref_sim: 0.1748 gap=0.0848 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-steal(resnet18)-
ref_sim: 0.2109 gap=0.1210 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-steal(mbnetv2)-
ref_sim: 0.2705 gap=0.1805 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-steal(resnet18)-
ref_sim: 0.2420 gap=0.1520 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-steal(mbnetv2)-
ref_sim: 0.2310 gap=0.1411 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-steal(resnet18)-
ref_sim: 0.2595 gap=0.1695 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-steal(mbnetv2)-
ref_sim: 0.2562 gap=0.1663 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-steal(resnet18)-
ref_sim: 0.1781 gap=0.0881 train(mbnetv2,Flower102)-prune(0.2)-
ref_sim: 0.1769 gap=0.0869 train(mbnetv2,Flower102)-prune(0.5)-
ref_sim: 0.1673 gap=0.0773 train(mbnetv2,Flower102)-prune(0.8)-
ref_sim: 0.2077 gap=0.1178 train(mbnetv2,SDog120)-prune(0.2)-
ref_sim: 0.1990 gap=0.1091 train(mbnetv2,SDog120)-prune(0.5)-
ref_sim: 0.2509 gap=0.1610 train(mbnetv2,SDog120)-prune(0.8)-
ref_sim: 0.1819 gap=0.0919 train(resnet18,Flower102)-prune(0.2)-
ref_sim: 0.1821 gap=0.0921 train(resnet18,Flower102)-prune(0.5)-
ref_sim: 0.1813 gap=0.0914 train(resnet18,Flower102)-prune(0.8)-
ref_sim: 0.2064 gap=0.1164 train(resnet18,SDog120)-prune(0.2)-
ref_sim: 0.2088 gap=0.1188 train(resnet18,SDog120)-prune(0.5)-
ref_sim: 0.2078 gap=0.1178 train(resnet18,SDog120)-prune(0.8)-
ref_sim: 0.1810 gap=0.0910 train(mbnetv2,Flower102)-distill()-
ref_sim: 0.2211 gap=0.1311 train(mbnetv2,SDog120)-distill()-
ref_sim: 0.1778 gap=0.0878 train(resnet18,Flower102)-distill()-
ref_sim: 0.2090 gap=0.1190 train(resnet18,SDog120)-distill()-
ref_sim: 0.1865 gap=0.0966 train(mbnetv2,Flower102)-steal(mbnetv2)-
ref_sim: 0.1745 gap=0.0846 train(mbnetv2,Flower102)-steal(resnet18)-
ref_sim: 0.2415 gap=0.1515 train(mbnetv2,SDog120)-steal(mbnetv2)-
ref_sim: 0.2126 gap=0.1226 train(mbnetv2,SDog120)-steal(resnet18)-
ref_sim: 0.1742 gap=0.0843 train(resnet18,Flower102)-steal(mbnetv2)-
ref_sim: 0.1798 gap=0.0899 train(resnet18,Flower102)-steal(resnet18)-
ref_sim: 0.2534 gap=0.1634 train(resnet18,SDog120)-steal(mbnetv2)-
ref_sim: 0.2289 gap=0.1389 train(resnet18,SDog120)-steal(resnet18)-
--gap_min:0.0614, parent_sim:0.0900, correct:True, model:pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)-
7	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.5)- testing
parent_sim: 0.1242 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.2117 gap=0.0875 pretrain(resnet18,ImageNet)-
ref_sim: 0.1893 gap=0.0651 train(mbnetv2,Flower102)-
ref_sim: 0.2367 gap=0.1125 train(mbnetv2,SDog120)-
ref_sim: 0.1786 gap=0.0543 train(resnet18,Flower102)-
ref_sim: 0.2099 gap=0.0856 train(resnet18,SDog120)-
ref_sim: 0.2020 gap=0.0778 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.1820 gap=0.0578 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.1785 gap=0.0543 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.2447 gap=0.1205 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.2425 gap=0.1183 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.2457 gap=0.1215 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.1863 gap=0.0621 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.1877 gap=0.0635 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.1905 gap=0.0663 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.1774 gap=0.0531 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.1770 gap=0.0528 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.1796 gap=0.0554 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.1762 gap=0.0520 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.1755 gap=0.0513 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
ref_sim: 0.1812 gap=0.0570 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.8)-
ref_sim: 0.2356 gap=0.1113 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.2)-
ref_sim: 0.2573 gap=0.1331 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.5)-
ref_sim: 0.2693 gap=0.1450 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.8)-
ref_sim: 0.2254 gap=0.1012 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.2)-
ref_sim: 0.2274 gap=0.1032 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.5)-
ref_sim: 0.2431 gap=0.1188 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.8)-
ref_sim: 0.2248 gap=0.1005 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.2)-
ref_sim: 0.2236 gap=0.0994 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.5)-
ref_sim: 0.2563 gap=0.1321 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.8)-
ref_sim: 0.1967 gap=0.0725 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-distill()-
ref_sim: 0.1806 gap=0.0564 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-distill()-
ref_sim: 0.1801 gap=0.0559 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-distill()-
ref_sim: 0.2801 gap=0.1559 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-distill()-
ref_sim: 0.3016 gap=0.1774 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-distill()-
ref_sim: 0.2939 gap=0.1697 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-distill()-
ref_sim: 0.1875 gap=0.0632 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(mbnetv2)-
ref_sim: 0.1920 gap=0.0677 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(resnet18)-
