6	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)- testing
parent_sim: 0.0553 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.1498 gap=0.0945 pretrain(resnet18,ImageNet)-
ref_sim: 0.6347 gap=0.5795 train(mbnetv2,Flower102)-
ref_sim: 0.3581 gap=0.3028 train(mbnetv2,SDog120)-
ref_sim: 0.5862 gap=0.5309 train(resnet18,Flower102)-
ref_sim: 0.4345 gap=0.3792 train(resnet18,SDog120)-
ref_sim: 0.2808 gap=0.2255 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.3869 gap=0.3316 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.4344 gap=0.3792 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.2676 gap=0.2123 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.2078 gap=0.1525 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.2241 gap=0.1688 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.3584 gap=0.3031 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.3293 gap=0.2741 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.3231 gap=0.2678 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.4443 gap=0.3890 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.4379 gap=0.3826 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.4131 gap=0.3578 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.4598 gap=0.4045 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.4487 gap=0.3934 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
ref_sim: 0.4223 gap=0.3670 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.8)-
ref_sim: 0.2025 gap=0.1472 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.2)-
ref_sim: 0.2024 gap=0.1471 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.5)-
ref_sim: 0.2904 gap=0.2351 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.8)-
ref_sim: 0.1873 gap=0.1320 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.2)-
ref_sim: 0.2046 gap=0.1493 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.5)-
ref_sim: 0.3268 gap=0.2715 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.8)-
ref_sim: 0.2188 gap=0.1636 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.2)-
ref_sim: 0.2168 gap=0.1615 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.5)-
ref_sim: 0.3128 gap=0.2575 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.8)-
ref_sim: 0.2530 gap=0.1978 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-distill()-
ref_sim: 0.3823 gap=0.3270 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-distill()-
ref_sim: 0.4922 gap=0.4369 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-distill()-
ref_sim: 0.3100 gap=0.2547 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-distill()-
ref_sim: 0.3943 gap=0.3390 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-distill()-
ref_sim: 0.3133 gap=0.2580 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-distill()-
ref_sim: 0.6456 gap=0.5903 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(mbnetv2)-
ref_sim: 0.5949 gap=0.5396 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(resnet18)-
ref_sim: 0.6704 gap=0.6151 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-steal(mbnetv2)-
ref_sim: 0.6874 gap=0.6321 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-steal(resnet18)-
ref_sim: 0.6733 gap=0.6180 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-steal(mbnetv2)-
ref_sim: 0.6031 gap=0.5478 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-steal(resnet18)-
ref_sim: 0.4683 gap=0.4130 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-steal(mbnetv2)-
ref_sim: 0.4293 gap=0.3741 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-steal(resnet18)-
ref_sim: 0.3681 gap=0.3128 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-steal(mbnetv2)-
ref_sim: 0.4154 gap=0.3601 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-steal(resnet18)-
ref_sim: 0.3653 gap=0.3100 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-steal(mbnetv2)-
