6	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)- testing
parent_sim: 0.0468 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.1510 gap=0.1042 pretrain(resnet18,ImageNet)-
ref_sim: 0.6065 gap=0.5597 train(mbnetv2,Flower102)-
ref_sim: 0.3661 gap=0.3193 train(mbnetv2,SDog120)-
ref_sim: 0.4350 gap=0.3882 train(resnet18,Flower102)-
ref_sim: 0.3036 gap=0.2568 train(resnet18,SDog120)-
ref_sim: 0.1844 gap=0.1376 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.3174 gap=0.2706 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.2965 gap=0.2497 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.2565 gap=0.2097 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.1389 gap=0.0922 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.2123 gap=0.1655 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.2512 gap=0.2044 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.2403 gap=0.1935 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.2704 gap=0.2237 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.3513 gap=0.3045 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.3290 gap=0.2822 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.3294 gap=0.2826 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.3334 gap=0.2866 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.3186 gap=0.2718 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
ref_sim: 0.3241 gap=0.2773 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.8)-
ref_sim: 0.1636 gap=0.1168 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.2)-
ref_sim: 0.1560 gap=0.1092 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.5)-
ref_sim: 0.1798 gap=0.1330 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.8)-
ref_sim: 0.1966 gap=0.1498 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.2)-
ref_sim: 0.1768 gap=0.1300 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.5)-
ref_sim: 0.2141 gap=0.1673 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.8)-
ref_sim: 0.1939 gap=0.1472 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.2)-
ref_sim: 0.2061 gap=0.1594 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.5)-
ref_sim: 0.1736 gap=0.1268 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.8)-
ref_sim: 0.2542 gap=0.2074 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-distill()-
ref_sim: 0.3568 gap=0.3100 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-distill()-
ref_sim: 0.3833 gap=0.3365 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-distill()-
ref_sim: 0.3068 gap=0.2600 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-distill()-
ref_sim: 0.3869 gap=0.3401 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-distill()-
ref_sim: 0.5678 gap=0.5210 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-distill()-
ref_sim: 0.7522 gap=0.7054 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(mbnetv2)-
ref_sim: 0.5088 gap=0.4620 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(resnet18)-
ref_sim: 0.6686 gap=0.6218 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-steal(mbnetv2)-
ref_sim: 0.5544 gap=0.5076 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-steal(resnet18)-
ref_sim: 0.6871 gap=0.6403 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-steal(mbnetv2)-
ref_sim: 0.5181 gap=0.4713 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-steal(resnet18)-
ref_sim: 0.2995 gap=0.2527 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-steal(mbnetv2)-
ref_sim: 0.3896 gap=0.3428 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-steal(resnet18)-
ref_sim: 0.3411 gap=0.2943 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-steal(mbnetv2)-
ref_sim: 0.3326 gap=0.2858 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-steal(resnet18)-
ref_sim: 0.3642 gap=0.3174 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-steal(mbnetv2)-
ref_sim: 0.3091 gap=0.2624 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-steal(resnet18)-
ref_sim: 0.6048 gap=0.5580 train(mbnetv2,Flower102)-prune(0.2)-
ref_sim: 0.5967 gap=0.5499 train(mbnetv2,Flower102)-prune(0.5)-
ref_sim: 0.4361 gap=0.3894 train(mbnetv2,Flower102)-prune(0.8)-
ref_sim: 0.3135 gap=0.2667 train(mbnetv2,SDog120)-prune(0.2)-
ref_sim: 0.3126 gap=0.2658 train(mbnetv2,SDog120)-prune(0.5)-
ref_sim: 0.3520 gap=0.3052 train(mbnetv2,SDog120)-prune(0.8)-
ref_sim: 0.3943 gap=0.3475 train(resnet18,Flower102)-prune(0.2)-
ref_sim: 0.4022 gap=0.3554 train(resnet18,Flower102)-prune(0.5)-
ref_sim: 0.3712 gap=0.3244 train(resnet18,Flower102)-prune(0.8)-
ref_sim: 0.2882 gap=0.2415 train(resnet18,SDog120)-prune(0.2)-
ref_sim: 0.3162 gap=0.2694 train(resnet18,SDog120)-prune(0.5)-
ref_sim: 0.3099 gap=0.2631 train(resnet18,SDog120)-prune(0.8)-
ref_sim: 0.6156 gap=0.5688 train(mbnetv2,Flower102)-distill()-
ref_sim: 0.3353 gap=0.2885 train(mbnetv2,SDog120)-distill()-
ref_sim: 0.5491 gap=0.5023 train(resnet18,Flower102)-distill()-
ref_sim: 0.3449 gap=0.2981 train(resnet18,SDog120)-distill()-
ref_sim: 0.5813 gap=0.5345 train(mbnetv2,Flower102)-steal(mbnetv2)-
ref_sim: 0.5840 gap=0.5372 train(mbnetv2,Flower102)-steal(resnet18)-
ref_sim: 0.3973 gap=0.3505 train(mbnetv2,SDog120)-steal(mbnetv2)-
ref_sim: 0.3671 gap=0.3203 train(mbnetv2,SDog120)-steal(resnet18)-
ref_sim: 0.5650 gap=0.5182 train(resnet18,Flower102)-steal(mbnetv2)-
ref_sim: 0.6364 gap=0.5896 train(resnet18,Flower102)-steal(resnet18)-
ref_sim: 0.4389 gap=0.3921 train(resnet18,SDog120)-steal(mbnetv2)-
ref_sim: 0.4079 gap=0.3611 train(resnet18,SDog120)-steal(resnet18)-
--gap_min:0.0922, parent_sim:0.0468, correct:True, model:pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)-
7	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.5)- testing
parent_sim: 0.0932 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.2134 gap=0.1203 pretrain(resnet18,ImageNet)-
ref_sim: 0.6528 gap=0.5596 train(mbnetv2,Flower102)-
ref_sim: 0.4595 gap=0.3663 train(mbnetv2,SDog120)-
ref_sim: 0.6134 gap=0.5202 train(resnet18,Flower102)-
ref_sim: 0.4499 gap=0.3568 train(resnet18,SDog120)-
ref_sim: 0.2330 gap=0.1398 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.2834 gap=0.1902 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.2995 gap=0.2064 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.2653 gap=0.1722 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.3614 gap=0.2683 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.2861 gap=0.1930 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.2678 gap=0.1746 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.2546 gap=0.1615 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.2598 gap=0.1666 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.3104 gap=0.2172 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.3022 gap=0.2090 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.3009 gap=0.2077 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.3205 gap=0.2273 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.3085 gap=0.2153 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
ref_sim: 0.2914 gap=0.1982 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.8)-
ref_sim: 0.2821 gap=0.1889 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.2)-
ref_sim: 0.2071 gap=0.1140 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.5)-
ref_sim: 0.2463 gap=0.1532 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.8)-
ref_sim: 0.3582 gap=0.2651 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.2)-
ref_sim: 0.3502 gap=0.2570 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.5)-
ref_sim: 0.3161 gap=0.2230 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.8)-
ref_sim: 0.3297 gap=0.2365 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.2)-
ref_sim: 0.3316 gap=0.2384 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.5)-
ref_sim: 0.3371 gap=0.2439 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.8)-
ref_sim: 0.3284 gap=0.2352 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-distill()-
ref_sim: 0.4202 gap=0.3270 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-distill()-
ref_sim: 0.4036 gap=0.3104 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-distill()-
ref_sim: 0.4314 gap=0.3382 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-distill()-
ref_sim: 0.3749 gap=0.2818 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-distill()-
ref_sim: 0.3864 gap=0.2933 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-distill()-
ref_sim: 0.6706 gap=0.5775 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(mbnetv2)-
ref_sim: 0.5799 gap=0.4868 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(resnet18)-
ref_sim: 0.6766 gap=0.5834 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-steal(mbnetv2)-
ref_sim: 0.5600 gap=0.4669 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-steal(resnet18)-
ref_sim: 0.6689 gap=0.5758 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-steal(mbnetv2)-
ref_sim: 0.4979 gap=0.4047 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-steal(resnet18)-
ref_sim: 0.3131 gap=0.2199 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-steal(mbnetv2)-
ref_sim: 0.3248 gap=0.2317 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-steal(resnet18)-
ref_sim: 0.4375 gap=0.3443 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-steal(mbnetv2)-
ref_sim: 0.3612 gap=0.2681 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-steal(resnet18)-
