6	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)- testing
parent_sim: 0.1068 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.2163 gap=0.1095 pretrain(resnet18,ImageNet)-
ref_sim: 0.4093 gap=0.3024 train(mbnetv2,Flower102)-
ref_sim: 0.4870 gap=0.3802 train(mbnetv2,SDog120)-
ref_sim: 0.3245 gap=0.2177 train(resnet18,Flower102)-
ref_sim: 0.3839 gap=0.2771 train(resnet18,SDog120)-
ref_sim: 0.2206 gap=0.1137 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.2902 gap=0.1834 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.2379 gap=0.1310 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.2692 gap=0.1623 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.3121 gap=0.2052 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.3863 gap=0.2794 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.2430 gap=0.1362 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.2424 gap=0.1355 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.1891 gap=0.0823 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.2533 gap=0.1465 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.2644 gap=0.1575 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.2009 gap=0.0940 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.2204 gap=0.1136 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.2120 gap=0.1051 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
ref_sim: 0.2012 gap=0.0944 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.8)-
ref_sim: 0.3756 gap=0.2687 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.2)-
ref_sim: 0.3320 gap=0.2252 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.5)-
ref_sim: 0.3754 gap=0.2686 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.8)-
ref_sim: 0.3297 gap=0.2229 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.2)-
ref_sim: 0.3411 gap=0.2342 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.5)-
ref_sim: 0.3547 gap=0.2479 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.8)-
ref_sim: 0.4649 gap=0.3581 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.2)-
ref_sim: 0.4032 gap=0.2963 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.5)-
ref_sim: 0.3945 gap=0.2876 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.8)-
ref_sim: 0.2639 gap=0.1571 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-distill()-
ref_sim: 0.2900 gap=0.1832 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-distill()-
ref_sim: 0.3261 gap=0.2192 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-distill()-
ref_sim: 0.3380 gap=0.2312 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-distill()-
ref_sim: 0.4302 gap=0.3233 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-distill()-
ref_sim: 0.3870 gap=0.2802 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-distill()-
ref_sim: 0.5368 gap=0.4300 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(mbnetv2)-
ref_sim: 0.4453 gap=0.3385 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(resnet18)-
ref_sim: 0.5682 gap=0.4613 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-steal(mbnetv2)-
ref_sim: 0.6903 gap=0.5834 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-steal(resnet18)-
ref_sim: 0.6401 gap=0.5332 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-steal(mbnetv2)-
ref_sim: 0.4548 gap=0.3479 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-steal(resnet18)-
ref_sim: 0.4440 gap=0.3371 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-steal(mbnetv2)-
ref_sim: 0.4878 gap=0.3810 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-steal(resnet18)-
ref_sim: 0.5149 gap=0.4081 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-steal(mbnetv2)-
ref_sim: 0.5215 gap=0.4146 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-steal(resnet18)-
ref_sim: 0.5634 gap=0.4566 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-steal(mbnetv2)-
ref_sim: 0.5508 gap=0.4439 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-steal(resnet18)-
ref_sim: 0.4311 gap=0.3242 train(mbnetv2,Flower102)-prune(0.2)-
ref_sim: 0.3452 gap=0.2383 train(mbnetv2,Flower102)-prune(0.5)-
ref_sim: 0.3854 gap=0.2785 train(mbnetv2,Flower102)-prune(0.8)-
ref_sim: 0.4629 gap=0.3561 train(mbnetv2,SDog120)-prune(0.2)-
ref_sim: 0.5196 gap=0.4127 train(mbnetv2,SDog120)-prune(0.5)-
ref_sim: 0.5241 gap=0.4173 train(mbnetv2,SDog120)-prune(0.8)-
ref_sim: 0.3222 gap=0.2154 train(resnet18,Flower102)-prune(0.2)-
ref_sim: 0.3364 gap=0.2295 train(resnet18,Flower102)-prune(0.5)-
ref_sim: 0.3259 gap=0.2191 train(resnet18,Flower102)-prune(0.8)-
ref_sim: 0.4227 gap=0.3158 train(resnet18,SDog120)-prune(0.2)-
ref_sim: 0.4137 gap=0.3068 train(resnet18,SDog120)-prune(0.5)-
ref_sim: 0.3819 gap=0.2751 train(resnet18,SDog120)-prune(0.8)-
ref_sim: 0.5510 gap=0.4441 train(mbnetv2,Flower102)-distill()-
ref_sim: 0.4978 gap=0.3909 train(mbnetv2,SDog120)-distill()-
ref_sim: 0.4398 gap=0.3330 train(resnet18,Flower102)-distill()-
ref_sim: 0.3967 gap=0.2899 train(resnet18,SDog120)-distill()-
ref_sim: 0.4876 gap=0.3808 train(mbnetv2,Flower102)-steal(mbnetv2)-
ref_sim: 0.5380 gap=0.4312 train(mbnetv2,Flower102)-steal(resnet18)-
ref_sim: 0.4139 gap=0.3070 train(mbnetv2,SDog120)-steal(mbnetv2)-
ref_sim: 0.4105 gap=0.3037 train(mbnetv2,SDog120)-steal(resnet18)-
ref_sim: 0.6092 gap=0.5024 train(resnet18,Flower102)-steal(mbnetv2)-
ref_sim: 0.5486 gap=0.4418 train(resnet18,Flower102)-steal(resnet18)-
ref_sim: 0.6577 gap=0.5509 train(resnet18,SDog120)-steal(mbnetv2)-
ref_sim: 0.4960 gap=0.3892 train(resnet18,SDog120)-steal(resnet18)-
--gap_min:0.0823, parent_sim:0.1068, correct:True, model:pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)-
7	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.5)- testing
parent_sim: 0.1408 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.2580 gap=0.1173 pretrain(resnet18,ImageNet)-
ref_sim: 0.4136 gap=0.2728 train(mbnetv2,Flower102)-
ref_sim: 0.4618 gap=0.3210 train(mbnetv2,SDog120)-
ref_sim: 0.3954 gap=0.2546 train(resnet18,Flower102)-
ref_sim: 0.4134 gap=0.2726 train(resnet18,SDog120)-
ref_sim: 0.2807 gap=0.1399 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.3645 gap=0.2238 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.2909 gap=0.1502 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.3675 gap=0.2267 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.3599 gap=0.2192 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.3527 gap=0.2120 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.2852 gap=0.1444 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.2648 gap=0.1240 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.2999 gap=0.1591 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.4230 gap=0.2823 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.4054 gap=0.2646 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.3328 gap=0.1921 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.2788 gap=0.1380 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.3073 gap=0.1665 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
