6	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)- testing
parent_sim: 0.0680 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.1590 gap=0.0910 pretrain(resnet18,ImageNet)-
ref_sim: 0.5988 gap=0.5308 train(mbnetv2,Flower102)-
ref_sim: 0.3305 gap=0.2625 train(mbnetv2,SDog120)-
ref_sim: 0.5429 gap=0.4749 train(resnet18,Flower102)-
ref_sim: 0.2852 gap=0.2172 train(resnet18,SDog120)-
ref_sim: 0.2055 gap=0.1375 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.2921 gap=0.2241 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.3491 gap=0.2811 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.2453 gap=0.1773 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.2579 gap=0.1899 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.2848 gap=0.2168 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.2629 gap=0.1949 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.2584 gap=0.1904 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.2819 gap=0.2139 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.3329 gap=0.2649 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.3277 gap=0.2597 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.3065 gap=0.2385 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.3673 gap=0.2993 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.3558 gap=0.2878 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
ref_sim: 0.3349 gap=0.2669 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.8)-
ref_sim: 0.2353 gap=0.1673 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.2)-
ref_sim: 0.2919 gap=0.2239 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.5)-
ref_sim: 0.3334 gap=0.2654 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.8)-
ref_sim: 0.2410 gap=0.1730 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.2)-
ref_sim: 0.2536 gap=0.1856 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.5)-
ref_sim: 0.3209 gap=0.2529 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.8)-
ref_sim: 0.2504 gap=0.1824 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.2)-
ref_sim: 0.2724 gap=0.2043 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.5)-
ref_sim: 0.3048 gap=0.2368 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.8)-
ref_sim: 0.2806 gap=0.2126 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-distill()-
ref_sim: 0.3964 gap=0.3284 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-distill()-
ref_sim: 0.3719 gap=0.3039 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-distill()-
ref_sim: 0.3422 gap=0.2742 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-distill()-
ref_sim: 0.3716 gap=0.3036 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-distill()-
ref_sim: 0.3052 gap=0.2372 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-distill()-
ref_sim: 0.4829 gap=0.4149 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(mbnetv2)-
ref_sim: 0.4001 gap=0.3321 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-steal(resnet18)-
ref_sim: 0.6494 gap=0.5814 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-steal(mbnetv2)-
ref_sim: 0.5728 gap=0.5048 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-steal(resnet18)-
ref_sim: 0.5886 gap=0.5206 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-steal(mbnetv2)-
ref_sim: 0.5849 gap=0.5169 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-steal(resnet18)-
ref_sim: 0.3717 gap=0.3037 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-steal(mbnetv2)-
ref_sim: 0.3594 gap=0.2914 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-steal(resnet18)-
ref_sim: 0.3698 gap=0.3018 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-steal(mbnetv2)-
ref_sim: 0.3704 gap=0.3024 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-steal(resnet18)-
ref_sim: 0.4263 gap=0.3583 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-steal(mbnetv2)-
ref_sim: 0.3527 gap=0.2847 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-steal(resnet18)-
ref_sim: 0.5865 gap=0.5185 train(mbnetv2,Flower102)-prune(0.2)-
ref_sim: 0.5704 gap=0.5024 train(mbnetv2,Flower102)-prune(0.5)-
ref_sim: 0.4953 gap=0.4273 train(mbnetv2,Flower102)-prune(0.8)-
ref_sim: 0.3387 gap=0.2707 train(mbnetv2,SDog120)-prune(0.2)-
ref_sim: 0.3760 gap=0.3080 train(mbnetv2,SDog120)-prune(0.5)-
ref_sim: 0.4651 gap=0.3971 train(mbnetv2,SDog120)-prune(0.8)-
ref_sim: 0.5385 gap=0.4705 train(resnet18,Flower102)-prune(0.2)-
ref_sim: 0.5482 gap=0.4802 train(resnet18,Flower102)-prune(0.5)-
ref_sim: 0.5223 gap=0.4543 train(resnet18,Flower102)-prune(0.8)-
ref_sim: 0.3162 gap=0.2482 train(resnet18,SDog120)-prune(0.2)-
