6	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)- testing
parent_sim: 0.0139 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.1530 gap=0.1391 pretrain(resnet18,ImageNet)-
ref_sim: 0.2759 gap=0.2620 train(mbnetv2,Flower102)-
ref_sim: 0.2442 gap=0.2303 train(mbnetv2,SDog120)-
ref_sim: 0.2571 gap=0.2432 train(resnet18,Flower102)-
ref_sim: 0.1783 gap=0.1644 train(resnet18,SDog120)-
ref_sim: 0.1671 gap=0.1532 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.2176 gap=0.2037 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.2248 gap=0.2109 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.1672 gap=0.1533 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.2029 gap=0.1890 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.2015 gap=0.1876 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.1317 gap=0.1178 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.1637 gap=0.1498 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.2223 gap=0.2084 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.1948 gap=0.1809 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.1298 gap=0.1159 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.2053 gap=0.1914 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.2209 gap=0.2070 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.2799 gap=0.2660 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
ref_sim: 0.1894 gap=0.1755 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.8)-
ref_sim: 0.1415 gap=0.1276 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.2)-
ref_sim: 0.2019 gap=0.1880 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.5)-
ref_sim: 0.1303 gap=0.1164 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.8)-
ref_sim: 0.1544 gap=0.1405 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.2)-
ref_sim: 0.1349 gap=0.1210 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.5)-
ref_sim: 0.1391 gap=0.1252 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.8)-
ref_sim: 0.1699 gap=0.1560 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.2)-
