6	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)- testing
parent_sim: 0.0355 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.1352 gap=0.0997 pretrain(resnet18,ImageNet)-
ref_sim: 0.5295 gap=0.4940 train(mbnetv2,Flower102)-
ref_sim: 0.3152 gap=0.2797 train(mbnetv2,SDog120)-
ref_sim: 0.5621 gap=0.5266 train(resnet18,Flower102)-
ref_sim: 0.2624 gap=0.2268 train(resnet18,SDog120)-
ref_sim: 0.1608 gap=0.1253 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.2339 gap=0.1984 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.2506 gap=0.2151 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.2160 gap=0.1805 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.1944 gap=0.1589 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.2437 gap=0.2082 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.2312 gap=0.1957 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.2325 gap=0.1970 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.2205 gap=0.1850 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.2664 gap=0.2308 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.2735 gap=0.2379 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.2707 gap=0.2351 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.2582 gap=0.2227 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.2603 gap=0.2248 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
ref_sim: 0.2456 gap=0.2100 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.8)-
ref_sim: 0.1798 gap=0.1443 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.2)-
