6	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)- testing
parent_sim: 0.0026 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.0094 gap=0.0068 pretrain(resnet18,ImageNet)-
ref_sim: 0.0426 gap=0.0400 train(mbnetv2,Flower102)-
ref_sim: 0.0709 gap=0.0682 train(mbnetv2,SDog120)-
ref_sim: 0.0121 gap=0.0094 train(resnet18,Flower102)-
ref_sim: 0.0123 gap=0.0097 train(resnet18,SDog120)-
ref_sim: 0.0268 gap=0.0242 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.0202 gap=0.0176 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.0202 gap=0.0176 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.0289 gap=0.0262 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.0404 gap=0.0377 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.0246 gap=0.0220 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.0166 gap=0.0140 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.0166 gap=0.0140 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.0175 gap=0.0149 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.0124 gap=0.0098 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.0111 gap=0.0085 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.0152 gap=0.0125 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.0125 gap=0.0099 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.0117 gap=0.0091 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
ref_sim: 0.0123 gap=0.0097 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.8)-
ref_sim: 0.0223 gap=0.0196 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.2)-
ref_sim: 0.0272 gap=0.0246 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.5)-
ref_sim: 0.0362 gap=0.0336 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.8)-
ref_sim: 0.0296 gap=0.0270 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.2)-
ref_sim: 0.0285 gap=0.0259 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.5)-
ref_sim: 0.0267 gap=0.0240 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.8)-
ref_sim: 0.0318 gap=0.0292 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.2)-
ref_sim: 0.0322 gap=0.0295 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.5)-
ref_sim: 0.0255 gap=0.0228 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.8)-
ref_sim: 0.0166 gap=0.0140 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-distill()-
ref_sim: 0.0121 gap=0.0095 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-distill()-
ref_sim: 0.0141 gap=0.0114 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-distill()-
ref_sim: 0.0270 gap=0.0244 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-distill()-
