6	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)- testing
parent_sim: 0.0300 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.1542 gap=0.1242 pretrain(resnet18,ImageNet)-
ref_sim: 0.5518 gap=0.5219 train(mbnetv2,Flower102)-
ref_sim: 0.4046 gap=0.3746 train(mbnetv2,SDog120)-
ref_sim: 0.4659 gap=0.4360 train(resnet18,Flower102)-
ref_sim: 0.3185 gap=0.2886 train(resnet18,SDog120)-
ref_sim: 0.1700 gap=0.1401 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.2855 gap=0.2556 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.3062 gap=0.2762 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.2361 gap=0.2062 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.2072 gap=0.1772 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.2089 gap=0.1789 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.2265 gap=0.1966 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.2292 gap=0.1992 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.2595 gap=0.2296 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.3239 gap=0.2940 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.3210 gap=0.2910 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.3311 gap=0.3011 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.3366 gap=0.3066 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.3389 gap=0.3089 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
ref_sim: 0.3573 gap=0.3274 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.8)-
ref_sim: 0.1962 gap=0.1662 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.2)-
ref_sim: 0.2067 gap=0.1768 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.5)-
ref_sim: 0.1939 gap=0.1640 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-prune(0.8)-
ref_sim: 0.2046 gap=0.1747 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.2)-
ref_sim: 0.1964 gap=0.1664 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.5)-
ref_sim: 0.2282 gap=0.1983 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-prune(0.8)-
ref_sim: 0.2099 gap=0.1799 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-prune(0.2)-
