6	 pretrain(mbnetv2,ImageNet)-transfer(Flower102,0.1)- testing
parent_sim: 0.0486 pretrain(mbnetv2,ImageNet)-
ref_sim: 0.1104 gap=0.0617 pretrain(resnet18,ImageNet)-
ref_sim: 0.5699 gap=0.5213 train(mbnetv2,Flower102)-
ref_sim: 0.2576 gap=0.2090 train(mbnetv2,SDog120)-
ref_sim: 0.4628 gap=0.4141 train(resnet18,Flower102)-
ref_sim: 0.2562 gap=0.2076 train(resnet18,SDog120)-
ref_sim: 0.1400 gap=0.0913 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-
ref_sim: 0.2394 gap=0.1908 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-
ref_sim: 0.2780 gap=0.2294 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-
ref_sim: 0.2118 gap=0.1632 pretrain(resnet18,ImageNet)-transfer(SDog120,0.1)-
ref_sim: 0.1683 gap=0.1196 pretrain(resnet18,ImageNet)-transfer(SDog120,0.5)-
ref_sim: 0.1868 gap=0.1382 pretrain(resnet18,ImageNet)-transfer(SDog120,1)-
ref_sim: 0.2110 gap=0.1624 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.2)-
ref_sim: 0.1995 gap=0.1509 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.5)-
ref_sim: 0.2095 gap=0.1609 pretrain(resnet18,ImageNet)-transfer(Flower102,0.1)-prune(0.8)-
ref_sim: 0.2791 gap=0.2305 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.2)-
ref_sim: 0.2723 gap=0.2237 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.5)-
ref_sim: 0.2471 gap=0.1985 pretrain(resnet18,ImageNet)-transfer(Flower102,0.5)-prune(0.8)-
ref_sim: 0.3038 gap=0.2552 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.2)-
ref_sim: 0.2939 gap=0.2453 pretrain(resnet18,ImageNet)-transfer(Flower102,1)-prune(0.5)-
